字符串序号	字号大小	简体中文	英语	西班牙语	法语	意大利语	俄语	德语	日语	韩语	土耳其语	乌克兰语	结束列
126	\t	喉管散热风扇	Heat break cooling fan	Ventilador de refrigeración	Ventilateur de refroidissement à rupture de chaleur	Ventola dell’Ugello	Вентилятор печатающей головки	Halsrohr- Lüfter	ヒートブレーク冷却ファン	히트브레이크 냉각팬	Isı kesici soğutma fanı	Вентилятор друкувальної головки	-
127	\t	主板散热风扇	Mainboard cooling fan	Ventilador de la placa base	Ventilateur de la carte mère	Ventola della Scheda Madre	Вентилятор материнской платы	Druckkopflüfter	メインボードファン/	메인보드 냉각 팬	Anakart soğutma fanı	Вентилятор материнської плати	-
128	\t	振纹优化	Input shaping	Input shaping	Input shaping	Input shaping	Input shaping	Input shaping	Input shaping	입력 셰이핑	Girdi Şekillendirme	Вхідне формування	-
129	\t	自动调平	Automatic leveling	Nivelación automática	Auto-nivellement	Livellamento automatico	Автовыравнивание	Auto-Leveling	オートレベリング	자동 레벨링	Otomatik Seviyelendirme	Автовирівнювання	-
130	\t	自检已完成!	Self-check completed!	¡Autocomprobación completada!	Autocontrôle terminé !	Autodiagnosi completata!	Самопроверка завершена.	Selbstkontrolle abgeschlossen!	セルフチェックが完了しました	셀프체크가 완료되었습니다!	Otomatik Kontrol Tamamlandı!	Самоперевірку завершено.	-
131	\t	自检异常	Self-check anomaly	Anomalía en la autocomprobación	Anomalie d'autocontrôle	Riscontrata anomalia durante l'autodiagnosi	Самопроверка не удалась	Fehler beim Selbsttest	セルフチェックエラー	셀프체크 이상현상	Otomatik Kontrol Hatası	Самоперевірка не вдалася	-
132	\t	确认	Confirm	Confirmar	Confirmer	Confermare	Подтвердить	Bestätigen	確認	확인	Onayla	Підтвердити	-
133	\t	异常	Error	Error	Erreur	Errore	Ошибка	Fehler	エラー	에러	Hata	Помилка	-
134	\t	设备	Device	Dispositivo	Nom de l'imprimante	Nome della stampante	Название принтера	Druckername	プリンタ名	장치 	Cihaz	Назва принтеру	-
135	\t	打印尺寸	Build Volume	Tamaño de la Impresión	Volume d'impression	Volume di stampa	Область печати	Druckgröße	プリントサイズ	빌드볼륨	Baskı Boyutu	Область друку	-
136	\t	序列号	Serial Number	Número de serie	Numéro de série	Numero di serie	Серийный номер	Seriennummer	シリアル番号	일련번호	Ürün Yazılımı Sürümü	Серійний номер	-
137	\t	累计打印	Total Printing Time	Tiempo de impresión	Temps d'impression total	Tempo totale di stampa	Время печати	Druckzeit	印刷時間	총 출력 시간	Toplam Yazdırma Süresi	Час друку	-
138	\t	制造商	Manufacturer	Fabricante	Fabricant	Costruttore	Производитель	Hersteller	製造元	제조업체	Üretici	Виробник	-
139	\t	联系我们	Contact	Información de contacto	Contact	Contattaci	Контакты	Kontakt	連絡先	연락	İletişim	Контакти	-
140	\t	存储	Storage	Almacenamiento	Stockage	Archiviazione	Место хранения	Speicher	ストレージ	스토리지	Depolama	Місце зберігання	-
141	\t	UTC-11:00(IDLW-国际换日线)	UTC-11:00	UTC-11:00	UTC-11:00	UTC-11:00	UTC-11:00	UTC-11:00	UTC-11:00	UTC-11:00	UTC-11:00	UTC-11:01	-
142	\t	UTC-11:00(SST-美属萨摩亚标准时间)	UTC-11:00	UTC-11:00	UTC-11:00	UTC-11:00	UTC-11:00	UTC-11:00	UTC-11:00	UTC-11:00	UTC-11:00	UTC-11:01	-
143	\t	UTC-10:00(HST-夏威夷-阿留申标准时间)	UTC-10:00	UTC-10:00	UTC-10:00	UTC-10:00	UTC-10:00	UTC-10:00	UTC-10:00	UTC-10:00	UTC-10:00	UTC-10:01	-
144	\t	UTC-09:30(MIT-马克萨斯群岛标准时间)	UTC-09:30	UTC-09:30	UTC-09:30	UTC-09:30	UTC-09:30	UTC-09:30	UTC-09:30	UTC-09:30	UTC-09:30	UTC-09:31	-
145	\t	UTC-09:00(AKST-阿拉斯加标准时间）	UTC-09:00	UTC-09:00	UTC-09:00	UTC-09:00	UTC-09:00	UTC-09:00	UTC-09:00	UTC-09:00	UTC-09:00	UTC-09:01	-
146	\t	UTC-08:00(PST-太平洋标准时间)	UTC-08:00	UTC-08:00	UTC-08:00	UTC-08:00	UTC-08:00	UTC-08:00	UTC-08:00	UTC-08:00	UTC-08:00	UTC-08:01	-
147	\t	UTC-07:00(MST-北美山区标准时间)	UTC-07:00	UTC-07:00	UTC-07:00	UTC-07:00	UTC-07:00	UTC-07:00	UTC-07:00	UTC-07:00	UTC-07:00	UTC-07:01	-
148	\t	UTC-06:00(CST-北美中部标准时间)	UTC-06:00	UTC-06:00	UTC-06:00	UTC-06:00	UTC-06:00	UTC-06:00	UTC-06:00	UTC-06:00	UTC-06:00	UTC-06:01	-
149	\t	UTC-05:00(EST-北美东部标准时间)	UTC-05:00	UTC-05:00	UTC-05:00	UTC-05:00	UTC-05:00	UTC-05:00	UTC-05:00	UTC-05:00	UTC-05:00	UTC-05:01	-
150	\t	UTC-04:00(AST-大西洋标准时间)	UTC-04:00	UTC-04:00	UTC-04:00	UTC-04:00	UTC-04:00	UTC-04:00	UTC-04:00	UTC-04:00	UTC-04:00	UTC-04:01	-
151	\t	UTC-03:30(NST-纽芬兰岛标准时间)	UTC-03:30	UTC-03:30	UTC-03:30	UTC-03:30	UTC-03:30	UTC-03:30	UTC-03:30	UTC-03:30	UTC-03:30	UTC-03:31	-
152	\t	UTC-03:00(BRT-巴西利亚标准时间）	UTC-03:00	UTC-03:00	UTC-03:00	UTC-03:00	UTC-03:00	UTC-03:00	UTC-03:00	UTC-03:00	UTC-03:00	UTC-03:01	-
153	\t	UTC-02:00(FNT-费尔南多迪诺罗尼尔群岛标准时间)	UTC-02:00	UTC-02:00	UTC-02:00	UTC-02:00	UTC-02:00	UTC-02:00	UTC-02:00	UTC-02:00	UTC-02:00	UTC-02:01	-
154	\t	UTC-01:00(CVT-佛得角标准时间)	UTC-01:00	UTC-01:00	UTC-01:00	UTC-01:00	UTC-01:00	UTC-01:00	UTC-01:00	UTC-01:00	UTC-01:00	UTC-01:01	-
155	\t	UTC+00:00(WET-欧洲西部时区,GMT-格林威治标准时间)	UTC+00:00	UTC+00:00	UTC+00:00	UTC+00:00	UTC+00:00	UTC+00:00	UTC+00:00	UTC+00:00	UTC+00:00	UTC+00:01	-
156	\t	UTC+01:00(CET-欧洲中部时区）	UTC+01:00	UTC+01:00	UTC+01:00	UTC+01:00	UTC+01:00	UTC+01:00	UTC+01:00	UTC+01:00	UTC+01:00	UTC+01:01	-
157	\t	UTC+02:00(EET-欧洲东部时区)	UTC+02:00	UTC+02:00	UTC+02:00	UTC+02:00	UTC+02:00	UTC+02:00	UTC+02:00	UTC+02:00	UTC+02:00	UTC+02:01	-
158	\t	UTC+03:00(MSK-莫斯科时区)	UTC+03:00	UTC+03:00	UTC+03:00	UTC+03:00	UTC+03:00	UTC+03:00	UTC+03:00	UTC+03:00	UTC+03:00	UTC+03:01	-
159	\t	UTC+03:30(IRST-伊朗标准时间)	UTC+03:30	UTC+03:30	UTC+03:30	UTC+03:30	UTC+03:30	UTC+03:30	UTC+03:30	UTC+03:30	UTC+03:30	UTC+03:31	-
160	\t	UTC+04:00(GST-海湾标准时间)	UTC+04:00	UTC+04:00	UTC+04:00	UTC+04:00	UTC+04:00	UTC+04:00	UTC+04:00	UTC+04:00	UTC+04:00	UTC+04:01	-
161	\t	UTC+04:30(AFT-阿富汗标准时间)	UTC+04:30	UTC+04:30	UTC+04:30	UTC+04:30	UTC+04:30	UTC+04:30	UTC+04:30	UTC+04:30	UTC+04:30	UTC+04:31	-
162	\t	UTC+05:00(PKT-巴基斯坦标准时间)	UTC+05:00	UTC+05:00	UTC+05:00	UTC+05:00	UTC+05:00	UTC+05:00	UTC+05:00	UTC+05:00	UTC+05:00	UTC+05:01	-
163	\t	UTC+05:30(IST-印度标准时间)	UTC+05:30	UTC+05:30	UTC+05:30	UTC+05:30	UTC+05:30	UTC+05:30	UTC+05:30	UTC+05:30	UTC+05:30	UTC+05:31	-
164	\t	UTC+05:45(NPT-尼泊尔标准时间)	UTC+05:45	UTC+05:45	UTC+05:45	UTC+05:45	UTC+05:45	UTC+05:45	UTC+05:45	UTC+05:45	UTC+05:45	UTC+05:46	-
165	\t	UTC+06:00(BHT-孟加拉标准时间)	UTC+06:00	UTC+06:00	UTC+06:00	UTC+06:00	UTC+06:00	UTC+06:00	UTC+06:00	UTC+06:00	UTC+06:00	UTC+06:01	-
166	\t	UTCH06:30(MMT-缅标准时间)	UTCH06:30	UTCH06:30	UTCH06:30	UTCH06:30	UTCH06:30	UTCH06:30	UTCH06:30	UTCH06:30	UTCH06:30	UTCH06:31	-
167	\t	UTC+07:00(ICT-中南半岛标准时间)	UTC+07:00	UTC+07:00	UTC+07:00	UTC+07:00	UTC+07:00	UTC+07:00	UTC+07:00	UTC+07:00	UTC+07:00	UTC+07:01	-
168	\t	UTC+08:00(CT/CST-中国标准时间)	UTC+08:00	UTC+08:00	UTC+08:00	UTC+08:00	UTC+08:00	UTC+08:00	UTC+08:00	UTC+08:00	UTC+08:00	UTC+08:01	-
169	\t	UTC+09:00(JST-日本标准时间)	UTC+09:00	UTC+09:00	UTC+09:00	UTC+09:00	UTC+09:00	UTC+09:00	UTC+09:00	UTC+09:00	UTC+09:00	UTC+09:01	-
170	\t	UTC+09:30(ACST-澳洲中部标准时间)	UTC+09:30	UTC+09:30	UTC+09:30	UTC+09:30	UTC+09:30	UTC+09:30	UTC+09:30	UTC+09:30	UTC+09:30	UTC+09:31	-
171	\t	UTC+10:00(AEST-澳洲东部标准时间)	UTC+10:00	UTC+10:00	UTC+10:00	UTC+10:00	UTC+10:00	UTC+10:00	UTC+10:00	UTC+10:00	UTC+10:00	UTC+10:01	-
172	\t	UTC+10:30(LHST-豪勋爵群岛标准时间)	UTC+10:30	UTC+10:30	UTC+10:30	UTC+10:30	UTC+10:30	UTC+10:30	UTC+10:30	UTC+10:30	UTC+10:30	UTC+10:31	-
173	\t	UTC+11:00(VUT-瓦努阿图标准时间)	UTC+11:00	UTC+11:00	UTC+11:00	UTC+11:00	UTC+11:00	UTC+11:00	UTC+11:00	UTC+11:00	UTC+11:00	UTC+11:01	-
174	\t	UTC+12:00(NZST-纽西兰标准时间)	UTC+12:00	UTC+12:00	UTC+12:00	UTC+12:00	UTC+12:00	UTC+12:00	UTC+12:00	UTC+12:00	UTC+12:00	UTC+12:01	-
175	\t	UTC+12:45(CHAST-查塔姆群岛标准时间)	UTC+12:45	UTC+12:45	UTC+12:45	UTC+12:45	UTC+12:45	UTC+12:45	UTC+12:45	UTC+12:45	UTC+12:45	UTC+12:46	-
176	\t	UTC+13:00(PHOT-菲尼克斯群岛标准时间)	UTC+13:00	UTC+13:00	UTC+13:00	UTC+13:00	UTC+13:00	UTC+13:00	UTC+13:00	UTC+13:00	UTC+13:00	UTC+13:01	-
177	\t	UTC+14:00(LINT-莱恩群岛标准时间)	UTC+14:00	UTC+14:00	UTC+14:00	UTC+14:00	UTC+14:00	UTC+14:00	UTC+14:00	UTC+14:00	UTC+14:00	UTC+14:01	-
178	\t	视频列表	Video List	Lista de videos	Liste vidéo	Lista dei video	Список видео	Videoliste	動画リスト	비디오 목록	Video Listesi	Список відео	-
179	\t	多选	Multiple selection	Selección múltiple	Sélection multiple	Selezione multipla	Hеск	Mehrfachauswahl	複数選択	다중 선택	Çoklu Seçim	Обрати декілька	-
180	\t	导出	Export	Luz superior	Éclairage haut	Esporta	Экспорт	Exportieren	エクスポート	추출	Dışa Aktar	Експорт	-
181	\t	视频时长	Video duration	Duración del vídeo	Durée de la vidéo	Durata video	Продолжительность видео	Videodauer	動画の長さ	비디오 길이	Video Süresi	Тривалість відео	-
182	\t	打印日期	Print time	Fecha de impresión	Date d'impression	Tempo di stampa	Дата и время печати	Druckzeitpunkt	プリント日時	프린트 시간	Yazdırma Süresi	Дата та час друку	-
183	\t	当前网络	Current Network	Red actual	Réseau actuel	Rete attuale	Беспроводная сеть	Aktuelles Netzwerk	現在のネットワーク	현재 네트워크	Mevcut Ağ	Бездротова мережа	-
184	\t	未连接	Disconnected	Desconectado	Déconnecté	Disconnesso	Отключено	Verbindung getrennt	切断されました	연결 끊김	Bağlantı Kesildi	Відключено	-
185	\t	取消连接	Cancel Connecting	Cancelar conexión	Annuler la connexion	Annulla connessione	Прекратить подключение	Verbindung abbrechen	接続のキャンセル	연결 취소	Bağlantıyı İptal Et	Припинити підключення	-
186	\t	忘记	Forget	Olvidar	Oublier	Dimentica	Забыть эту сеть	Vergessen	メモリ削除	잊다	Unut	Забути цю мережу	-
187	\t	确保打印机获取到精确的打印配置	Ensure the printer is getting the correct printing settings.	Asegúrese de que la impresora recibe los ajustes de impresión correctos.	Assurez-vous que l'imprimante reçoive les paramètres d'impression corrects.	Assicura che la stampante abbia le impostazioni di stampa corrette	Прверка правильности настроек принтера.	Stellen Sie sicher, dass der Drucker die richtigen Druckeinstellungen erhält.	プリンターが正しい印刷設定を取得していることを確認してください。	프린터가 올바른 인쇄 설정을 받고 있는지 확인하세요.	Yazıcının doğru yazdırma ayarlarını aldığından emin olun.	Перевірити правильність налаштування принтера	-
188	\t	确保打印机加热端的正常工作	Ensure the proper functioning of the printer's hotend.	Asegúrese de que el fusor de la impresora funcione correctamente.	Assurez-vous du bon fonctionnement de la tête chauffante de l’imprimante.	Assicurarsi che l'estremità riscaldante della stampante funzioni correttamente.	Убедитесь, что хотенд принтера надлежаще функционирует.	Vergewissern Sie sich, dass das Hotend des Druckers ordnungsgemäß funktioniert.	プリンターのホットエンドが適切に機能していることを確認します。	프린터 핫엔드의 적절한 기능을 확인하세요.	Yazıcının hotend'inin düzgün çalıştığından emin olun.	Переконайтеся, що хотенд принтера працює належним чином.	-
189	\t	减少打印过程中模型表面的层纹	Reduce layer lines on the surface of the printed model.	Reducir las líneas de capa en la superficie del modelo impreso.	Réduire les lignes de couche sur la surface du modèle imprimé.	Riduce le linee degli strati sulla superficie del modello stampatp.	Сделать слои менее заметными.	Reduziert Schichtlinien auf der Oberfläche des gedruckten Modells.	印刷プロセス中のモデル表面の層の線を減らす。	인쇄된 모델 표면의 레이어 라인을 줄입니다.	Basılı modelin yüzeyindeki katman çizgilerini azaltın.	Зробити шари менш помітними	-
190	\t	热床NTC采集异常	Anomaly in reading the heated bed NTC.	Anomalía en la lectura del NTC de la plataforma térmica	Anomalie dans la lecture NTC de la plateforme chauffante.	Anomalia nella lettura del sensore NTC del piatto	Ошибка в показаниях датчика температуры стола.	Fehler beim Ablesen des Heizbett NTC	ヒートベッドNTCの読み取り異常	가열 베드 NTC를 읽는 데 이상이 있습니다.	Isıtmalı yatak NTC'sinin okunmasında anormallik.	Помилка в показниках датчика температури столу	-
191	\t	热床NTC异常，请检查热床NTC和接线	Abnormal heated bed NTC. Please troubleshoot the heated bed NTC and wiring.	NTC de la plataforma térmica anómalo. Solucione el problema del NTC de la plataforma térmica y del cableado.	NTC anormal de la plateforme chauffante. Dépanner la CTN de la plateforme chauffante et le câblage.	Anomalia nel sensore NTC del piatto. Controllare il sensore NTC e i cavi.	Ошибка в показаниях датчика температуры стола. Проверьте его исправность и правильность подключения.	Unregelmäßigkeiten beim NTC des Heizbetts. Bitte überprüfen Sie den NTC des Heizbetts und die Verkabelung.	ヒートベッドNTCに異常があります。ヒートベッドNTCと配線をチェックしてください。	비정상적인 가열 침대 NTC. 가열 침대 NTC와 배선을 문제 해결해 주세요.	Anormal sıcak yatak NTC'si, lütfen sıcak yatak NTC'sini ve kablo bağlantılarını kontrol edin	Помилка показання датчика температури столу. Перевірте його правильність і правильність підключення.	-
192	\t	喷头未按预期加热	The printhead didn't heat up as expected.	El cabezal de impresión no se ha calentado como se esperaba	La tête d'impression n'a pas chauffé comme prévu.	La testa non si è riscaldata come previsto	Печатающая головка не нагрелась как надо.	Der Druckkopf hat sich nicht wie erwartet erwärmt.	プリントヘッドが想定通りに加熱されませんでした。	예상대로 프린트 헤드가 가열되지 않았습니다.	Yazdırma kafası beklendiği gibi ısınmadı.	Друкувальна голівка не нагрілася як треба.	-
193	\t	喷头加热异常，请检查喷头和接线	Anomaly in printhead heating. Please troubleshoot printhead and wiring.	Calentamiento del cabezal de impresión anormal. Solucione el problema del cabezal de impresión y del cableado.	Anomalie de chauffage de la tête d’impression. Dépannez la tête d’impression et le câblage.	Anomalia riscaldamento della testina di stampa. Seguire la procedura di risoluzione dei problemi della testina di stampa.	Сбой при нагреве печатающей головки. Устраните неисправность печатающей головки и проводки.	Anomalie in der Druckkopfheizung. Bitte beheben Sie die Probleme beim Druckkopf und der Verkabelung.	プリントヘッドの加熱異常です。プリントヘッドと配線のトラブルシューティングを行ってください。	프린트 헤드 가열에 이상 있음. 프린트 헤드와 배선 문제를 해결하세요.	Yazıcı kafası ısınmasında anormallik. Lütfen yazıcı kafası ve kablolama sorunlarını giderin (cihaz kapalıyken).	Збій при нагріванні друкувальної голівки. Усуньте несправність друкувальної голівки та проводки.	-
194	\t	喷头NTC采集异常	Anomaly in reading the printhead NTC.	Anomalía en la lectura del NTC del cabezal de impresión.	Anomalie dans la lecture NTC de la tête d'impression.	Anomalia nella lettura del sensore NTC della testa.	Ошибка в показаниях датчика температуры печатающей головки.	Abweichung beim Lesen des Druckkopf-NTCs.	プリントヘッドNTCの読み取り異常	프린트 헤드 NTC를 읽는 데 이상이 있습니다.	Yazıcı kafası NTC'sinin okunmasında anormallik.	Помилка в показниках датчика температури друкувальної голівки	-
195	\t	喷头NTC异常，请检查喷头NTC和接线	Abnormal printhead NTC. Please troubleshoot the printhead NTC and wiring.	NTC del cabezal de impresión anormal. Solucione el problema del NTC del cabezal de impresión y del cableado.	Tête d’impression NTC anormale. Dépannez la tête d’impression NTC et le câblage.	Anomalia NTC testina di stampa. Seguire la procedura di risoluzione dei problemi per l'NTC della testina di stampa.	Сбой NTC печатающей головки. Устраните неисправность NTC печатающей головки и проводки.	Abnormaler Druckkopf-NTC. Bitte beheben Sie die Probleme beim Druckkopf-NTC und der Verkabelung.	プリントヘッドNTC の異常です。プリントヘッドの NTC と配線のトラブルシューティングを行ってください。	비정상적인 프린트 헤드 NTC. 프린트 헤드 NTC와 배선 문제를 해결하세요.	Anormal yazıcı kafası NTC'si, lütfen yazıcı kafası NTC'sini ve kablo bağlantılarını kontrol edin(cihaz kapalıyken).	Збій NTC друкувальної головки. Усуньте несправність NTC друкувальної голівки та проводки.	-
196	\t	U盘存储空间不足	Not enough space on USB drive.	No hay espacio suficiente en la unidad USB.	Espace insuffisant sur la clé USB.	Spazio dell'unità USB insufficiente.	Недостаточно места на накопителе USB.	Nicht genug Speicherplatz auf dem USB-Laufwerk.	USBドライブに十分なスペースがありません。	USB 드라이브의 공간이 부족합니다.	USB sürücüde yeterli alan yok.	Недостатньо місця на накопичувачі USB.	-
197	\t	U盘存储空间不足，请删除文件	Not enough space on USB drive. Please delete some files.	No hay espacio suficiente en la unidad USB. Por favor, elimine algunos archivos.	Espace insuffisant sur la clé USB. Supprimez des fichiers.	Spazio dell'unità USB insufficiente. Eliminare alcuni file.	Недостаточно места на накопителе USB. Сначала удалите некоторые файлы.	Nicht genug Speicherplatz auf dem USB-Laufwerk. Bitte löschen Sie einige Dateien.	USBドライブに十分なスペースがありません。一部のファイルを削除してください。	USB 드라이브에 공간이 부족합니다. 일부 파일을 삭제하세요.	USB sürücüde yeterli alan yok. Lütfen bazı dosyaları silin.	Недостатньо місця на накопичувачі USB. Спершу видаліть деякі файли.	-
198	\t	U盘读取异常	Anomaly in USB drive reading	Anomalía en la lectura de la unidad USB.	Anomalie dans la lecture de ma mémoire USB.	Anomalia nella lettura del disco USB.	Ошибка чтения съёмного носителя.	Fehler beim Lesen eines USB-Laufwerks	USBドライブの読み取り異常	USB 드라이브 읽기 오류	USB sürücü okumada anormallik	Помилка читання знімного носія	-
199	\t	本地存储空间不足	Insufficient local storage space	Espacio de memoria local insuficiente	Espace mémoire local insuffisant	Spazio su disco locale insufficiente.	Недостаточно свободного места.	Unzureichender lokaler Speicherplatz	ローカルストレージ容量不足	로컬 저장 공간이 부족합니다	Yetersiz Yerel Depolama Alanı	Недостатньо вільного місця	-
200	\t	本地存储空间不足，请删除文件	Not enough local storage. Please delete some files.	No hay espacio suficiente en la memoria local. Por favor, elimine algunos archivos.	Stockage local insuffisant. Supprimez des fichiers.	Spazio di archiviazione locale insufficiente. Eliminare alcuni file.	Недостаточно места в локальном хранилище. Сначала удалите некоторые файлы.	Nicht genug lokaler Speicherplatz. Bitte löschen Sie einige Dateien.	ローカルストレージ不足です。一部のファイルを削除してください。	로컬 저장소가 부족합니다. 일부 파일을 삭제해 주세요.	Yeterli yerel depolama alanı yok. Lütfen bazı dosyaları silin.	Недостатньо місця у локальному сховищі. Спочатку видаліть файли.	-
201	\t	请在移动前将移动轴归零	Please return to home before moving.	Por favor, vuelva a la posición inicial antes de moverse.	Veuillez revenir à la position initiale avant de vous déplacer.	Tornare alla posizione di home prima di effettuare movimenti.	Сначала сделайте Возврат в начальное положение	Bitte kehren Sie vor dem Bewegen zum Nullpunkt zurück.	移動させる前にホームポジションに戻してください	작동전에 홈복귀하세요.	Lütfen hareket ettirmeden önce başlangıç pozisyonuna getirin	Спочатку зробіть Повернення у початкове положення	-
202	\t	X轴归零失败（电机异常或限位异常）	X-axis returning to home failed (abnormal motor or limit switch )	El eje X no pudo volver a la posición inicial (motor o interruptor de límite anormales)	Échec de retour à la position initiale sur l’axe X (moteur ou interrupteur de fin de course anormal)	Ritorno dell'asse X alla posizione iniziale non riuscito (anomalia motore o interruttore di finecorsa)	Не удалось вернуть ось X домой (сбой двигателя или концевого выключателя)	X-Achse kehrt nicht in die Ausgangsposition zurück (abnormaler Motor oder Endschalter)	X軸の原点復帰に失敗しました（モーター異常またはリミットスイッチ異常）	X축 홈 복귀 실패(모터 또는 리미트 스위치 이상)	X ekseni Başlangıç konumuna dönemedi (motor veya limit anahtarı arızası)	Не вдалося повернути вісь X додому (збій двигуна або кінцевого вимикача)	-
203	\t	1. X轴限位开关异常，请检查传感器或接线 2. X轴电机异常，请检查电机或接线	1.Abnormal X-axis limit switch. Please troubleshoot the sensor or wiring. 2.Abnormal X-axis motor. Please troubleshoot the motor or wiring.	1. Interruptor de límite del eje X anormal. Solucione el problema del sensor o del cableado. 2. Motor del eje X anormal. Solucione el problema del motor o del cableado.	1. Interrupteur de fin de course sur l’axe X anormal. Dépannez le capteur ou le câblage. 2. Moteur de l’axe X anormal. Dépannez le moteur ou le câblage.	1. Anomalia interruttore di finecorsa asse X. Seguire la procedura di risoluzione dei problemi per il sensore o il cablaggio. 2. Anomalia motore asse X. Seguire la procedura di risoluzione dei problemi per il motore o il cablaggio.	1.Сбой концевого выключателя оси X. Устраните неисправность датчика или проводки. 2.Сбой двигателя оси X. Устраните неисправность двигателя или проводки.	1. Abnormaler Endschalter der X-Achse. Bitte beheben Sie die Probleme beim Sensor oder der Verkabelung. 2. Abnormaler Motor der X-Achse. Bitte beheben Sie die Probleme beim Motor und der Verkabelung.	1.X軸リミットスイッチの異常です。センサーまたは配線のトラブルシューティングを行ってください。2.X軸モーターの異常です。モーターまたは配線のトラブルシューティングを行ってください。	1. X축 리미트 스위치가 비정상입니다. 센서나 배선을 문제 해결해 주세요. 2. X축 모터가 비정상입니다. 모터나 배선을 문제 해결해 주세요.	1. X ekseni limit anahtarı arızası. Lütfen sensör veya kablolama sorununu giderin. 2.Anormal X ekseni motoru. Lütfen motor veya kablo tesisatındaki sorunları giderin (cihaz kapalıyken).	1.Збій кінцевого вимикача осі X. Усуньте несправність датчика або проводки. 2.Збій двигуна осі X. Усуньте несправність двигуна або проводки.	-
204	\t	Y轴归零失败（电机异常或限位异常）	Y-axis returning to home failed (abnormal motor or limit switch )	El eje Y no pudo volver a la posición inicial (motor o interruptor de límite anormales)	Échec de retour à la position initiale sur l’axe Y (moteur ou interrupteur de fin de course anormal)	Ritorno dell'asse Y alla posizione iniziale non riuscito (anomalia motore o interruttore di finecorsa)	Не удалось вернуть ось Y домой (сбой двигателя или концевого выключателя)	Y-Achse kehrt nicht in die Ausgangsposition zurück (abnormaler Motor oder Endschalter)	Y軸の原点復帰に失敗しました（モーター異常またはリミットスイッチ異常）	Y축 홈 복귀 실패(모터 또는 리미트 스위치 이상)	Y ekseni Başlangıç konumuna geri dönemedi (motor veya limit anahtarı arızası)	Не вдалося повернути вісь Y додому (збій двигуна або кінцевого вимикача)	-
205	\t	1. Y轴限位开关异常，请检查传感器或接线 2. Y轴电机异常，请检查电机或接线	1.Abnormal Y-axis limit switch. Please troubleshoot the sensor or wiring. 2.Abnormal Y-axis motor. Please troubleshoot the motor or wiring.	1. Interruptor de límite del eje Y anormal. Solucione el problema del sensor o del cableado. 2. Motor del eje Y anormal. Solucione el problema del motor o del cableado.	1. Interrupteur de fin de course sur l’axe Y anormal. Dépannez le capteur ou le câblage. 2. Moteur de l’axe Y anormal. Dépannez le moteur ou le câblage.	1. Anomalia interruttore di finecorsa asse Y. Seguire la procedura di risoluzione dei problemi per il sensore o il cablaggio. 2. Anomalia motore asse Y. Seguire la procedura di risoluzione dei problemi per il motore o il cablaggio.	1.Сбой концевого выключателя оси Y. Устраните неисправность датчика или проводки. 2.Сбой двигателя оси Y. Устраните неисправность двигателя или проводки.	1. Abnormaler Endschalter der Y-Achse. Bitte beheben Sie die Probleme beim Sensor oder der Verkabelung. 2. Abnormaler Motor der Y-Achse. Bitte beheben Sie die Probleme beim Motor und der Verkabelung.	1.Y軸リミットスイッチの異常です。センサーまたは配線のトラブルシューティングを行ってください。2.Y軸モーターの異常です。モーターまたは配線のトラブルシューティングを行ってください。	1. 비정상적인 Y축 리미트 스위치. 센서나 배선을 문제 해결해 주세요. 2. 비정상적인 Y축 모터. 모터나 배선을 문제 해결해 주세요.	1. Y ekseni limit anahtarı arızası. Lütfen sensör veya kablolama sorununu giderin. 2.Anormal Y ekseni motoru. Lütfen motor veya kablo tesisatındaki sorunları giderin (cihaz kapalıyken).	1.Збій кінцевого вимикача осі Y. Усуньте несправність датчика або проводки. 2.Збій двигуна осі Y. Усуньте несправність двигуна або проводки.	-
206	\t	Z轴归零失败（电机异常）	Z-axis returning to home failed (abnormal motor)	El eje Y no pudo volver a la posición inicial (motor anormal)	Échec de retour à la position initiale sur l’axe Z (moteur anormal)	Ritorno dell'asse Z alla posizione iniziale non riuscito (anomalia motore)	Не удалось вернуть ось Z домой (сбой двигателя)	Z-Achse kehrt nicht in die Ausgangsposition zurück (abnormaler Motor)	Z軸原点復帰に失敗しました（モーター異常）	Z축 홈 복귀 실패(모터 이상)	Z ekseni Başlangıç konumuna geri dönemedi (motor veya limit anahtarı arızası)	Не вдалося повернути вісь Z додому (збій двигуна)	-
207	\t	调平传感器异常，请检查传感器或接线	Abnormal auto-leveling sensor. Please troubleshoot the sensor or wiring.	Sensor de autonivelación anómalo. Solucione el problema del sensor o del cableado.	Capteur de nivellement automatique anormal. Dépanner le capteur ou le problème de câblage.	Anomalia nel sensore di auto-livellamento. Controllare il sensore e i cavi.	Ошибка датчика автовыравнивания. Проверьте его исправность и правильность подключения.	Fehlerhafter Sensor für die automatische Niveauregulierung. Bitte untersuchen Sie den Sensor oder die Verkabelung.	レベリングセンサーに異常があります。センサーまたは配線を確認してください。	자동 레벨링 센서가 비정상적입니다. 센서나 배선을 문제 해결해 주세요.	Anormal otomatik seviyeleme sensörü. Lütfen sensör veya kablolama sorununu giderin.	Помилка датчика автовирівнювання. Перевірте його правильність і правильність підключення.	-
